지역,대학명,전형유형,모집단위,2025 입시결과 경쟁,2025 입시결과 70%,2024 입시결과 경쟁,2024 입시결과 70%
경기,가천대학교,논술,의예과,,,,
경기,가천대학교,논술,바이오로직스학과,27.2,4.44,,
경기,가천대학교,논술,클라우드공학과,135.0,3.04,,
경기,가천대학교,논술,경영학과,31.9,4.65,23.9,4.19
경기,가천대학교,논술,회계세무학과,31.9,4.61,17.2,4.47
경기,가천대학교,논술,관광경영학과,32.7,4.21,20.6,4.52
경기,가천대학교,논술,의료산업경영학과,29.1,4.65,17.4,4.38
경기,가천대학교,논술,금융·빅데이터학부,25.9,4,,
경기,가천대학교,논술,미디어커뮤니케이션학과,52.9,4.29,30.5,4.0
경기,가천대학교,논술,경제학과,35.4,4.41,17.0,4.56
경기,가천대학교,논술,응용통계학과,31.5,4.5,17.0,4.13
경기,가천대학교,논술,사회복지학과,29.2,4.13,,
경기,가천대학교,논술,유아교육학과,24.3,4.87,,
경기,가천대학교,논술,심리학과,39.8,3.94,26.0,4.04
경기,가천대학교,논술,패션산업학과,38.4,3.98,,
경기,가천대학교,논술,# AI인문대학,,,,
경기,가천대학교,논술,# 법과대학,29.5,4.91,20.0,4.37
경기,가천대학교,논술,도시계획·조경학부,27.8,5.03,19.1,4.42
경기,가천대학교,논술,건축학부,37.0,4.74,27.9,4.3
경기,가천대학교,논술,건축공학과,37.0,4.74,27.9,4.3
경기,가천대학교,논술,화공생명배터리공학부,30.4,4.26,30.9,3.84
경기,가천대학교,논술,기계공학부,35.5,4.33,24.5,4.12
경기,가천대학교,논술,스마트팩토리학과,28.8,4.89,,
경기,가천대학교,논술,건설환경공학과,29.1,4.73,20.9,4.4
경기,가천대학교,논술,신소재공학과,36.5,4.03,,
경기,가천대학교,논술,바이오나노학과,30.9,4.7,,
경기,가천대학교,논술,식품생명공학과,34.3,4.19,23.7,4.27
경기,가천대학교,논술,식품영양학과,29.9,4.21,,
경기,가천대학교,논술,생명과학과,39.3,3.93,,
경기,가천대학교,논술,반도체물리학과,27.0,4.43,,
경기,가천대학교,논술,화학과,33.6,4.07,,
경기,가천대학교,논술,# 반도체대학,39.4,4.63,,
경기,가천대학교,논술,시스템반도체공학과,,,,
경기,가천대학교,논술,인공지능학과,35.4,4.48,,
경기,가천대학교,논술,컴퓨터공학과,48.3,4.15,,
경기,가천대학교,논술,스마트보안학과,33.4,4.49,,
경기,가천대학교,논술,전기공학과,33.2,4.58,23.0,4.12
경기,가천대학교,논술,스마트시티학과,30.6,4.22,21.3,4.58
경기,가천대학교,논술,의공학과,27.2,4.79,,
경기,가천대학교,논술,간호학과,46.4,3.88,,
경기,가천대학교,논술,치위생학과,28.6,4.51,,
경기,가천대학교,논술,응급구조학과,28.0,4.17,,
경기,가천대학교,논술,물리치료학과,70.8,3.78,,
경기,가천대학교,논술,방사선학과,42.7,4.58,,
경기,가천대학교,논술,운동재활학과,29.7,4.48,,
경기,가천대학교,학생부교과,경영학과,10.9,2.66,12.5,2.6
경기,가천대학교,학생부교과,회계세무학과,22.1,2.93,9.6,3.07
경기,가천대학교,학생부교과,관광경영학과,15.8,2.69,9.9,2.9
경기,가천대학교,학생부교과,의료산업경영학과,15.8,2.63,10.4,2.99
경기,가천대학교,학생부교과,금융·빅데이터학부,9.2,2.88,12.6,2.82
경기,가천대학교,학생부교과,미디어커뮤니케이션학과,21.1,2.44,17.4,2.63
경기,가천대학교,학생부교과,경제학과,15.0,2.65,14.6,2.73
경기,가천대학교,학생부교과,응용통계학과,11.2,2.79,9.8,2.67
경기,가천대학교,학생부교과,사회복지학과,36.5,3,10.7,3.15
경기,가천대학교,학생부교과,유아교육학과,10.5,2.78,8.3,2.92
경기,가천대학교,학생부교과,심리학과,15.0,2.7,19.2,2.6
경기,가천대학교,학생부교과,패션산업학과,15.0,3,23.0,2.7
경기,가천대학교,학생부교과,# AI인문대학,,,,
경기,가천대학교,학생부교과,# 법과대학,12.1,2.73,13.0,2.7
경기,가천대학교,학생부교과,도시계획·조경학부,14.1,2.76,9.9,3.02
경기,가천대학교,학생부교과,건축학부,13.9,2.77,9.2,2.84
경기,가천대학교,학생부교과,건축공학과,13.9,2.77,9.2,2.84
경기,가천대학교,학생부교과,화공생명배터리공학부,10.6,2.66,8.2,2.41
경기,가천대학교,학생부교과,기계공학부,45.3,2.89,7.6,3.74
경기,가천대학교,학생부교과,스마트팩토리학과,14.0,2.95,12.6,2.88
경기,가천대학교,학생부교과,건설환경공학과,19.9,3.02,12.4,3.13
경기,가천대학교,학생부교과,신소재공학과,11.6,2.65,10.1,2.54
경기,가천대학교,학생부교과,바이오나노학과,7.6,2.38,7.9,2.45
경기,가천대학교,학생부교과,식품생명공학과,10.0,2.56,11.6,2.49
경기,가천대학교,학생부교과,식품영양학과,9.9,2.74,11.3,2.63
경기,가천대학교,학생부교과,생명과학과,11.3,2.29,24.3,2.33
경기,가천대학교,학생부교과,반도체물리학과,13.7,2.87,14.0,3.04
경기,가천대학교,학생부교과,화학과,9.3,3.22,13.7,2.54
경기,가천대학교,학생부교과,반도체대학,11.5,2.7,11.5,2.64
경기,가천대학교,학생부교과,시스템반도체학과,,,12.3,2.72
경기,가천대학교,학생부교과,인공지능학과,10.5,2.83,9.0,2.67
경기,가천대학교,학생부교과,컴퓨터공학과,11.9,2.53,14.0,2.59
경기,가천대학교,학생부교과,스마트보안학과,14.0,2.88,8.6,2.97
경기,가천대학교,학생부교과,전기공학과,15.0,2.72,7.9,2.87
경기,가천대학교,학생부교과,스마트시티학과,14.0,2.71,10.6,2.94
경기,가천대학교,학생부교과,의공학과,12.8,2.46,7.5,2.85
경기,가천대학교,학생부교과,간호학과,7.4,1.9,7.3,1.87
경기,가천대학교,학생부교과,치위생학과,12.2,2.54,11.0,2.68
경기,가천대학교,학생부교과,물리치료학과,12.4,1.79,20.2,1.21
경기,가천대학교,학생부교과,방사선학과,20.0,2,16.6,2.36
경기,가천대학교,학생부교과,운동재활학과,16.8,2.75,10.8,2.86
경기,가천대학교,학생부교과,바이오로직스학과,9.2,2.41,,
경기,가천대학교,학생부교과,클라우드공학과,27.9,2.06,,
경기,가천대학교,학생부교과,의예과,25.2,1,,
경기,가천대학교,학생부교과,한의예과,39.0,1.12,,
경기,가천대학교,학생부교과,약학과,36.3,1.2,,
경기,가천대학교,학생부교과,# 자유전공,28.6,3.2,48.3,3.23
경기,가천대학교,학생부교과,유아교육학과,9.2,3.13,29.6,2.73
경기,가천대학교,학생부교과,간호학과,13.6,2.22,31.7,2.24
경기,가천대학교,학생부교과,치위생학과,7.8,3.25,20.6,2.94
경기,가천대학교,학생부교과,물리치료학과,12.8,2.25,22.2,2.29
경기,가천대학교,학생부교과,방사선학과,20.4,2.78,21.0,3.06
경기,가천대학교,학생부교과,경영학과,29.5,,16.0,3.14
경기,가천대학교,학생부교과,관광경영학과,14.5,,16.5,2.79
경기,가천대학교,학생부교과,의료산업경영학과,9.5,,6.5,2.86
경기,가천대학교,학생부교과,금융·빅데이터학부,,,,
경기,가천대학교,학생부교과,미디어커뮤니케이션학과,16.0,,12.0,1.0
경기,가천대학교,학생부교과,경제학과,13.0,,7.0,2.89
경기,가천대학교,학생부교과,응용통계학과,21.5,,6.5,3.88
경기,가천대학교,학생부교과,사회복지학과,23.5,,24.5,3.52
경기,가천대학교,학생부교과,심리학과,16.5,,10.5,2.73
경기,가천대학교,학생부교과,패션산업학과,13.0,,,
경기,가천대학교,학생부교과,# AI인문대학,,,,
경기,가천대학교,학생부교과,# 법과대학,14.0,,15.0,3.42
경기,가천대학교,학생부교과,도시계획·조경학부,,,10.0,1.2
경기,가천대학교,학생부교과,건축학부,15.7,,18.5,3.5
경기,가천대학교,학생부교과,건축공학과,15.7,,18.5,3.5
